count 	 data 	 target 	 output 
0	tensor([0.0000e+00, 2.2959e-02, 2.0113e-05])	tensor([0.])	tensor([0.])
1	tensor([0.0000, 0.0193, 0.2147])	tensor([0.])	tensor([0.])
2	tensor([0.0000, 0.0003, 0.0033])	tensor([0.])	tensor([0.])
3	tensor([0.0000, 0.0553, 0.0577])	tensor([0.])	tensor([0.])
4	tensor([0.0454, 0.5323, 0.0355])	tensor([1.])	tensor([1.])
5	tensor([0.0329, 0.6843, 0.0577])	tensor([1.])	tensor([1.])
6	tensor([0.0000, 0.0436, 0.0039])	tensor([0.])	tensor([0.])
7	tensor([0.0152, 0.6287, 0.2275])	tensor([1.])	tensor([1.])
8	tensor([0.0000, 0.0927, 0.2147])	tensor([0.])	tensor([0.])
9	tensor([0.0000, 0.0452, 0.1394])	tensor([0.])	tensor([0.])
10	tensor([0.0462, 0.2345, 0.2147])	tensor([1.])	tensor([1.])
11	tensor([0.0000, 0.0162, 0.0021])	tensor([0.])	tensor([0.])
12	tensor([0.0000, 0.0341, 0.0018])	tensor([0.])	tensor([0.])
13	tensor([0.0000, 0.0010, 0.0019])	tensor([0.])	tensor([0.])
14	tensor([0.0000, 0.0000, 0.0032])	tensor([0.])	tensor([0.])
15	tensor([0.0192, 0.4721, 0.0333])	tensor([1.])	tensor([1.])
16	tensor([0.0000, 0.0126, 0.0025])	tensor([0.])	tensor([0.])
17	tensor([0.0141, 0.7752, 0.0592])	tensor([1.])	tensor([1.])
18	tensor([0.0000, 0.0022, 0.1394])	tensor([0.])	tensor([0.])
19	tensor([0.0000, 0.2629, 0.0014])	tensor([1.])	tensor([1.])
20	tensor([0.0000, 0.0113, 0.1394])	tensor([1.])	tensor([0.])
21	tensor([0.0663, 0.3599, 0.2147])	tensor([1.])	tensor([1.])
22	tensor([0.0000, 0.0496, 0.0592])	tensor([0.])	tensor([0.])
23	tensor([0.0004, 0.3478, 0.0577])	tensor([1.])	tensor([1.])
24	tensor([0.0000, 0.0069, 0.0592])	tensor([0.])	tensor([0.])
25	tensor([0.0000, 0.1125, 0.0065])	tensor([0.])	tensor([0.])
26	tensor([0.0000, 0.0553, 0.0592])	tensor([0.])	tensor([0.])
27	tensor([0.0000, 0.0000, 0.0002])	tensor([0.])	tensor([0.])
28	tensor([0.0065, 0.5348, 0.0033])	tensor([1.])	tensor([1.])
29	tensor([0.0216, 0.5363, 0.0592])	tensor([1.])	tensor([1.])
30	tensor([0.0068, 0.2187, 0.0211])	tensor([1.])	tensor([1.])
31	tensor([0.0114, 0.0773, 0.0592])	tensor([1.])	tensor([1.])
32	tensor([0.0000, 0.0621, 0.0196])	tensor([0.])	tensor([0.])
33	tensor([0.0000, 0.0992, 0.2147])	tensor([0.])	tensor([0.])
34	tensor([0.0414, 0.6567, 0.0592])	tensor([1.])	tensor([1.])
35	tensor([0.0000, 0.0847, 0.0355])	tensor([0.])	tensor([0.])
36	tensor([0.0000e+00, 2.6253e-01, 2.5343e-04])	tensor([1.])	tensor([1.])
37	tensor([0.0039, 0.4180, 0.0013])	tensor([1.])	tensor([1.])
38	tensor([0.0000, 0.0533, 0.0333])	tensor([0.])	tensor([0.])
39	tensor([0.0034, 0.0523, 0.0032])	tensor([1.])	tensor([1.])
40	tensor([0.0099, 0.1423, 0.0110])	tensor([1.])	tensor([1.])
41	tensor([0.0000, 0.0646, 0.0592])	tensor([1.])	tensor([0.])
42	tensor([0.0000, 0.0343, 0.0355])	tensor([1.])	tensor([0.])
43	tensor([0.0570, 0.6610, 0.2147])	tensor([1.])	tensor([1.])
44	tensor([0.0000, 0.0068, 0.0577])	tensor([0.])	tensor([0.])
45	tensor([0.0000, 0.0137, 0.2147])	tensor([0.])	tensor([0.])
46	tensor([0.0000, 0.2500, 0.2275])	tensor([1.])	tensor([1.])
47	tensor([0.0000, 0.0611, 0.0355])	tensor([0.])	tensor([0.])
48	tensor([0.1250, 0.9711, 0.2275])	tensor([0.])	tensor([0.])
49	tensor([0.0000, 0.0093, 0.0355])	tensor([0.])	tensor([0.])
50	tensor([0.0000e+00, 0.0000e+00, 7.6430e-05])	tensor([0.])	tensor([0.])
51	tensor([0.0000, 0.0130, 0.0196])	tensor([0.])	tensor([0.])
52	tensor([0.0014, 0.4158, 0.0079])	tensor([1.])	tensor([1.])
53	tensor([0.0000, 0.0347, 0.0027])	tensor([0.])	tensor([0.])
54	tensor([0.0156, 0.7360, 0.0027])	tensor([1.])	tensor([1.])
55	tensor([0.0441, 0.8276, 0.0065])	tensor([1.])	tensor([1.])
56	tensor([0.0000, 0.0003, 0.0043])	tensor([0.])	tensor([0.])
57	tensor([0.0000, 0.0054, 0.0032])	tensor([0.])	tensor([0.])
58	tensor([0.0465, 0.5960, 0.2275])	tensor([1.])	tensor([1.])
59	tensor([0.0000, 0.0488, 0.0042])	tensor([0.])	tensor([0.])
60	tensor([0.0047, 0.3804, 0.2275])	tensor([1.])	tensor([1.])
61	tensor([0.0000, 0.0989, 0.2147])	tensor([1.])	tensor([0.])
62	tensor([0.0548, 0.8028, 0.0333])	tensor([1.])	tensor([1.])
63	tensor([0.0000, 0.0065, 0.0032])	tensor([0.])	tensor([0.])
64	tensor([0.0000, 0.0574, 0.0033])	tensor([0.])	tensor([0.])
65	tensor([0.0000, 0.0247, 0.0355])	tensor([0.])	tensor([0.])
66	tensor([0.0000, 0.0031, 0.0355])	tensor([0.])	tensor([0.])
67	tensor([0.0216, 0.4715, 0.0577])	tensor([1.])	tensor([1.])
68	tensor([0.0000, 0.0027, 0.2147])	tensor([0.])	tensor([0.])
69	tensor([0.0000, 0.0186, 0.0355])	tensor([0.])	tensor([0.])
70	tensor([0.0227, 0.3384, 0.0042])	tensor([1.])	tensor([1.])
71	tensor([0.0077, 0.3889, 0.2275])	tensor([1.])	tensor([1.])
72	tensor([0.0000, 0.0131, 0.0000])	tensor([1.])	tensor([0.])
73	tensor([0.0000, 0.0226, 0.0000])	tensor([0.])	tensor([0.])
74	tensor([0.0223, 0.3331, 0.0025])	tensor([1.])	tensor([1.])
75	tensor([0.0000, 0.0777, 0.0027])	tensor([1.])	tensor([0.])
76	tensor([0.0000, 0.0035, 0.0577])	tensor([0.])	tensor([0.])
77	tensor([4.2194e-03, 2.2448e-02, 1.2068e-05])	tensor([1.])	tensor([1.])
78	tensor([0.0512, 0.6592, 0.0355])	tensor([1.])	tensor([1.])
79	tensor([0.0000, 0.0042, 0.0333])	tensor([0.])	tensor([0.])
80	tensor([0.0000, 0.0074, 0.0033])	tensor([0.])	tensor([0.])
