count 	 data 	 target 	 output 
0	tensor([0.0000, 0.0681, 0.0577])	tensor([0.])	tensor([0.])
1	tensor([0.0000, 0.0739, 0.0043])	tensor([0.])	tensor([0.])
2	tensor([0.0573, 0.5514, 0.0577])	tensor([1.])	tensor([1.])
3	tensor([0.0000, 0.0000, 0.0196])	tensor([0.])	tensor([0.])
4	tensor([0.0000, 0.0124, 0.0592])	tensor([0.])	tensor([0.])
5	tensor([0.0357, 0.4054, 0.2275])	tensor([1.])	tensor([1.])
6	tensor([0.0011, 0.1129, 0.0592])	tensor([1.])	tensor([1.])
7	tensor([0.0000, 0.0354, 0.0592])	tensor([0.])	tensor([0.])
8	tensor([0.0357, 0.2126, 0.0592])	tensor([1.])	tensor([1.])
9	tensor([0.3333, 0.9984, 0.1394])	tensor([0.])	tensor([0.])
10	tensor([0.0000, 0.0150, 0.0023])	tensor([0.])	tensor([0.])
11	tensor([0.0078, 0.6005, 0.0577])	tensor([1.])	tensor([1.])
12	tensor([0.0000, 0.0034, 0.0187])	tensor([0.])	tensor([0.])
13	tensor([0.0000, 0.0190, 0.0032])	tensor([0.])	tensor([0.])
14	tensor([0.0000, 0.0452, 0.0032])	tensor([0.])	tensor([0.])
15	tensor([0.0059, 0.5237, 0.0577])	tensor([1.])	tensor([1.])
16	tensor([0.0000, 0.0264, 0.0355])	tensor([0.])	tensor([0.])
17	tensor([0.0000, 0.1519, 0.0592])	tensor([0.])	tensor([0.])
18	tensor([0.0000, 0.0855, 0.2275])	tensor([0.])	tensor([0.])
19	tensor([0.1143, 0.8346, 0.1394])	tensor([1.])	tensor([1.])
20	tensor([0.0000e+00, 1.6146e-04, 4.0226e-06])	tensor([0.])	tensor([0.])
21	tensor([0.0000, 0.1806, 0.0592])	tensor([1.])	tensor([0.])
22	tensor([0.0000, 0.0012, 0.0000])	tensor([0.])	tensor([0.])
23	tensor([0.0000, 0.1555, 0.2147])	tensor([1.])	tensor([1.])
24	tensor([0., 0., 0.])	tensor([0.])	tensor([0.])
25	tensor([0.0014, 0.0378, 0.0592])	tensor([1.])	tensor([1.])
26	tensor([0.0000, 0.0115, 0.0036])	tensor([0.])	tensor([0.])
27	tensor([0.0000, 0.1554, 0.0030])	tensor([0.])	tensor([0.])
28	tensor([0.0000, 0.1784, 0.0043])	tensor([1.])	tensor([0.])
29	tensor([0.0040, 0.1650, 0.2147])	tensor([1.])	tensor([1.])
30	tensor([0.0309, 0.3095, 0.0036])	tensor([1.])	tensor([1.])
31	tensor([0.0000, 0.0714, 0.0196])	tensor([0.])	tensor([0.])
32	tensor([0.0860, 0.7050, 0.2275])	tensor([1.])	tensor([1.])
33	tensor([0.0312, 0.2416, 0.2275])	tensor([1.])	tensor([1.])
34	tensor([0.0455, 0.8508, 0.0016])	tensor([1.])	tensor([0.])
35	tensor([0.0071, 0.1573, 0.2147])	tensor([1.])	tensor([1.])
36	tensor([0.0161, 0.1020, 0.2147])	tensor([1.])	tensor([1.])
37	tensor([0.0076, 0.1293, 0.2275])	tensor([1.])	tensor([1.])
38	tensor([0.0833, 0.9225, 0.0592])	tensor([1.])	tensor([0.])
39	tensor([0.0000, 0.0409, 0.0592])	tensor([0.])	tensor([0.])
40	tensor([0.0338, 0.4649, 0.0592])	tensor([1.])	tensor([1.])
41	tensor([0.0074, 0.2072, 0.0027])	tensor([1.])	tensor([1.])
42	tensor([0.0000, 0.0202, 0.2275])	tensor([0.])	tensor([0.])
43	tensor([0.0000, 0.1913, 0.0027])	tensor([1.])	tensor([0.])
44	tensor([0.0505, 0.4891, 0.2147])	tensor([1.])	tensor([1.])
45	tensor([0.0000, 0.0211, 0.2147])	tensor([0.])	tensor([0.])
46	tensor([0.0000, 0.0007, 0.1394])	tensor([0.])	tensor([0.])
47	tensor([0.0000e+00, 6.7838e-05, 3.3227e-03])	tensor([0.])	tensor([0.])
48	tensor([0.0000, 0.0001, 0.0038])	tensor([0.])	tensor([0.])
49	tensor([0.0543, 0.2335, 0.0196])	tensor([1.])	tensor([1.])
50	tensor([0.0275, 0.7053, 0.1394])	tensor([1.])	tensor([1.])
51	tensor([0.0000, 0.0827, 0.0333])	tensor([0.])	tensor([0.])
52	tensor([0.0072, 0.3396, 0.2147])	tensor([1.])	tensor([1.])
53	tensor([0.0000, 0.0009, 0.0033])	tensor([0.])	tensor([0.])
54	tensor([0.0000, 0.0547, 0.0577])	tensor([0.])	tensor([0.])
55	tensor([0.0446, 0.6429, 0.1394])	tensor([1.])	tensor([1.])
56	tensor([0.0400, 0.2974, 0.2147])	tensor([1.])	tensor([1.])
57	tensor([0.0000, 0.0806, 0.0333])	tensor([0.])	tensor([0.])
58	tensor([0.0000, 0.0166, 0.0187])	tensor([0.])	tensor([0.])
59	tensor([0.0000, 0.0036, 0.1394])	tensor([0.])	tensor([0.])
60	tensor([0.0000, 0.0265, 0.2147])	tensor([0.])	tensor([0.])
61	tensor([0.0000, 0.0039, 0.2147])	tensor([0.])	tensor([0.])
62	tensor([0.0122, 0.2747, 0.2275])	tensor([1.])	tensor([1.])
63	tensor([0.0000, 0.0090, 0.2275])	tensor([1.])	tensor([0.])
64	tensor([0.0000, 0.0769, 0.0002])	tensor([0.])	tensor([0.])
65	tensor([0.0787, 0.7388, 0.2275])	tensor([1.])	tensor([1.])
66	tensor([0.0000, 0.1197, 0.0030])	tensor([1.])	tensor([0.])
67	tensor([0.0031, 0.4943, 0.2275])	tensor([1.])	tensor([1.])
68	tensor([0.0000, 0.0611, 0.2147])	tensor([1.])	tensor([0.])
69	tensor([0.0000, 0.0017, 0.0196])	tensor([0.])	tensor([0.])
70	tensor([0.0000, 0.0206, 0.2147])	tensor([0.])	tensor([0.])
71	tensor([0.0147, 0.3026, 0.0050])	tensor([0.])	tensor([1.])
72	tensor([0.0354, 0.3873, 0.0333])	tensor([1.])	tensor([1.])
73	tensor([0.0000, 0.0297, 0.0187])	tensor([1.])	tensor([0.])
74	tensor([0.0015, 0.2336, 0.0355])	tensor([1.])	tensor([1.])
75	tensor([0.0000, 0.0240, 0.0211])	tensor([1.])	tensor([0.])
76	tensor([0.0000, 0.0208, 0.1394])	tensor([0.])	tensor([0.])
77	tensor([0.0476, 0.4730, 0.0577])	tensor([1.])	tensor([1.])
78	tensor([0.0087, 0.1438, 0.2275])	tensor([1.])	tensor([1.])
79	tensor([0.0000, 0.0983, 0.0577])	tensor([0.])	tensor([0.])
80	tensor([0.0000, 0.1363, 0.0032])	tensor([0.])	tensor([0.])
81	tensor([0.0000, 0.0290, 0.0002])	tensor([0.])	tensor([0.])
82	tensor([0.0517, 0.6780, 0.2147])	tensor([1.])	tensor([1.])
83	tensor([0.0134, 0.2187, 0.2147])	tensor([1.])	tensor([1.])
84	tensor([0.0000, 0.0000, 0.0196])	tensor([0.])	tensor([0.])
85	tensor([0.0132, 0.3035, 0.0187])	tensor([0.])	tensor([1.])
86	tensor([0.0068, 0.3897, 0.0333])	tensor([1.])	tensor([1.])
87	tensor([0.0000e+00, 8.0697e-05, 0.0000e+00])	tensor([0.])	tensor([0.])
88	tensor([0.0531, 0.7025, 0.2275])	tensor([1.])	tensor([1.])
89	tensor([0.0145, 0.5656, 0.0333])	tensor([0.])	tensor([1.])
90	tensor([0.0000, 0.0039, 0.0057])	tensor([0.])	tensor([0.])
91	tensor([0.2000, 0.9307, 0.2275])	tensor([1.])	tensor([0.])
92	tensor([0.0216, 0.2394, 0.0592])	tensor([1.])	tensor([1.])
93	tensor([0.0000, 0.0562, 0.0050])	tensor([1.])	tensor([0.])
94	tensor([0.0000, 0.0592, 0.2147])	tensor([0.])	tensor([0.])
95	tensor([0.0000, 0.0000, 0.0014])	tensor([0.])	tensor([0.])
96	tensor([0.0171, 0.6629, 0.0187])	tensor([1.])	tensor([1.])
97	tensor([0.0000, 0.0294, 0.0110])	tensor([0.])	tensor([0.])
98	tensor([0.0741, 0.2911, 0.0211])	tensor([1.])	tensor([1.])
